bnk_trn_ref|exec_dt|debit_account_no|credit_account_no|amount|trn_desc
Q49315F52119|2010-06-25 00:00:00|CH0234515455801405036|CH2942996515512723075|10993.93|Payment of invoice(s) Wells, Julie
W18832H49471|2012-05-11 00:00:00|CH0204884126669364759|CH4574413380911406657|4580.34|Payment of invoice(s) Time  Alternative
F26850I63343|2008-08-29 00:00:00|CH0248281695366099688|CH4691395643275573987|15245.97|Payment of invoice(s) BizTech
O36266U26516|2013-02-01 00:00:00|CH0250407194135228410|CH8616261051059395320|26835.20|Payment of invoice(s) Prospect Time
L51618B27558|2010-06-18 00:00:00|CH0209336657619956939|CH2942996515512723075|5566.37|Payment of invoice(s) Wells, Julie
R16691R73499|2013-03-22 00:00:00|CH0246225152084380466|CH2776009455955283091|39914.79|Payment of invoice(s) Aeora
U18985F68686|2015-04-17 00:00:00|CH0209336657619956939|CH4702748652329494055|193.21|Payment of invoice(s) Contreras, Myles
K26095Q79920|2012-06-01 00:00:00|CH0240522825785605571|CH9298162976623746233|6421.37|Payment of invoice(s) Midnight Time
F11646O55417|2016-02-26 00:00:00|CH0214894598926922337|CH3276374414353537218|22325.51|Payment of invoice(s) Time  Iron
J38883X70823|2011-09-30 00:00:00|CH0231003557422817970|CH5331058502318833724|27220.78|Payment of invoice(s) Farrell, Samantha
M32323I25639|2015-12-18 00:00:00|CH0214894598926922337|CH2825850289822331123|8294.87|Payment of invoice(s) Strickland, Leroy
Y86245G31480|2008-05-16 00:00:00|CH0249176139269086161|CH4297398669858140496|27089.80|Payment of invoice(s) Antechnology
P67670W54369|2013-04-26 00:00:00|CH0246225152084380466|CH6067246472234989020|17713.35|Payment of invoice(s) Nikuda
F12399J22098|2011-09-30 00:00:00|CH0215694012443589673|CH9298162976623746233|49453.52|Payment of invoice(s) Midnight Time
O47807A33774|2008-02-01 00:00:00|CH0234515455801405036|CH4297398669858140496|2804.13|Payment of invoice(s) Antechnology
E12911R85695|2011-04-29 00:00:00|CH0250407194135228410|CH9467652252739966512|22637.00|Payment of invoice(s) Americas Time
E21302N62960|2010-12-24 00:00:00|CH0231003557422817970|CH8729499478213548344|2762.80|Payment of invoice(s) CranialTech
W38334L24447|2014-01-17 00:00:00|CH0230382548836512713|CH8515468004216856140|5209.25|Payment of invoice(s) SecondTime
G10265M23000|2015-04-24 00:00:00|CH0236918036799637910|CH4702748652329494055|1541.06|Payment of invoice(s) Contreras, Myles
Y92166M19427|2016-07-29 00:00:00|CH0210540037202341452|CH9204116784019962130|47089.58|Payment of invoice(s) OneStop Time
X77626Q55098|2012-03-16 00:00:00|CH0230382548836512713|CH7319445800904089133|17485.89|Payment of invoice(s) Vibrant Time
R68677C72424|2011-11-18 00:00:00|CH0250407194135228410|CH6389002244580245381|11695.08|Payment of invoice(s) Sin Thesis
N33153I55889|2015-04-17 00:00:00|CH0230382548836512713|CH4702748652329494055|14038.96|Payment of invoice(s) Contreras, Myles
B37790D15914|2012-03-16 00:00:00|CH0236918036799637910|CH7319445800904089133|9937.74|Payment of invoice(s) Vibrant Time
O57228O54463|2011-03-25 00:00:00|CH0206003498982695304|CH3514647971914614633|10930.84|Payment of invoice(s) Design of the Times
A58365H35902|2012-05-04 00:00:00|CH0201609149519657198|CH3061963907498411463|61975.37|Payment of invoice(s) Moving with the Times
L41701D60374|2011-04-08 00:00:00|CH0214151982011227631|CH8619980845374894676|29536.00|Payment of invoice(s) Tucker, Amos
M31647K75259|2011-06-10 00:00:00|CH0228112131218563569|CH0309890016342600758|22652.53|Payment of invoice(s) Time  Nano
Q76625K90814|2013-11-08 00:00:00|CH0228315136202810440|CH3662109453683414593|29936.54|Payment of invoice(s) Prism Time
J74728F23343|2014-06-06 00:00:00|CH0214894598926922337|CH6525051052542047010|11075.92|Payment of invoice(s) Suburban Time
Q45779U73436|2015-12-04 00:00:00|CH0214401606376708007|CH7010391221892072726|5587.44|Payment of invoice(s) Time  Avatar
D49741M44585|2011-01-28 00:00:00|CH0231003557422817970|CH6040350716936780372|2784.33|Payment of invoice(s) Technoracks
U87051V12115|2015-11-27 00:00:00|CH0228112131218563569|CH1006820597721560021|55355.26|Payment of invoice(s) Time  Cupid
V31095O97363|2012-01-06 00:00:00|CH0230382548836512713|CH1443469204088447401|33522.80|Payment of invoice(s) Neighborhood Time
D51415T12264|2011-03-25 00:00:00|CH0236918036799637910|CH3514647971914614633|34529.64|Payment of invoice(s) Design of the Times
R85386C60601|2006-12-15 00:00:00|CH0209049493360060612|CH7283917062688226097|32364.60|Payment of invoice(s) Finley, Vernon
M78138Q55986|2013-03-22 00:00:00|CH0201609149519657198|CH2776009455955283091|13591.45|Payment of invoice(s) Aeora
R23711E17522|2009-11-20 00:00:00|CH0240900251892652380|CH5088638921249011890|34330.71|Payment of invoice(s) FreeTime
E79748Q92932|2016-03-11 00:00:00|CH0251073611707606644|CH9460991585208143427|16627.26|Payment of invoice(s) Zentime
Z70702H10440|2015-04-24 00:00:00|CH0234139622897026693|CH4702748652329494055|16603.14|Payment of invoice(s) Contreras, Myles
C90773D96329|2011-12-09 00:00:00|CH0200974687337280877|CH9406142899865775066|13696.36|Payment of invoice(s) ColorOptic
L35110U18355|2012-03-16 00:00:00|CH0214401606376708007|CH7319445800904089133|4254.10|Payment of invoice(s) Vibrant Time
Y98122I45650|2011-02-04 00:00:00|CH0200974687337280877|CH6040350716936780372|16100.00|Payment of invoice(s) Technoracks
F18245R94990|2013-03-08 00:00:00|CH0214401606376708007|CH0619016605702832070|20809.69|Payment of invoice(s) Pattern Time
A81541M58702|2016-01-08 00:00:00|CH0240900251892652380|CH2825850289822331123|5647.85|Payment of invoice(s) Strickland, Leroy
G11272G56192|2015-04-24 00:00:00|CH0209049493360060612|CH4702748652329494055|6748.24|Payment of invoice(s) Contreras, Myles
T28308V70884|2012-08-03 00:00:00|CH0250407194135228410|CH8988352604215975853|80665.14|Payment of invoice(s) Time  Urban
T58690W64996|2014-01-24 00:00:00|CH0218229960514553128|CH8515468004216856140|3677.61|Payment of invoice(s) SecondTime
T70518Y54314|2011-10-14 00:00:00|CH0211681954985788087|CH4858680069098133364|26768.96|Payment of invoice(s) Time  North
U79547Y32645|2013-08-23 00:00:00|CH0224806721788063113|CH8119090900291807523|28745.84|Payment of invoice(s) Techmania
X14831Y72836|2011-10-14 00:00:00|CH0224806721788063113|CH4858680069098133364|26837.45|Payment of invoice(s) Time  North
G88287E98159|2013-11-29 00:00:00|CH0207993305365962502|CH9550700497041359716|14680.65|Payment of invoice(s) Lifetime Time
C58997G55880|2008-03-28 00:00:00|CH0234139622897026693|CH9449043298339965395|17479.40|Payment of invoice(s) Sigh Co.
S43043B77559|2015-05-08 00:00:00|CH0227578004931115071|CH4702748652329494055|71081.62|Payment of invoice(s) Contreras, Myles
B52615X68397|2013-03-22 00:00:00|CH0206003498982695304|CH2776009455955283091|260.58|Payment of invoice(s) Aeora
G29317N75016|2011-05-20 00:00:00|CH0236918036799637910|CH8119090900291807523|13239.33|Payment of invoice(s) Techmania
L63572J78730|2006-12-22 00:00:00|CH0201609149519657198|CH7283917062688226097|24427.16|Payment of invoice(s) Finley, Vernon
N86158J62771|2013-05-03 00:00:00|CH0250222882407221959|CH4574413380911406657|22443.43|Payment of invoice(s) Time  Alternative
W85923H61191|2015-09-11 00:00:00|CH0219850911967777927|CH4385645604347036714|61716.08|Payment of invoice(s) Just Time
T39541H72884|2013-01-25 00:00:00|CH0237130733821422792|CH5016167931570684520|15820.52|Payment of invoice(s) Lighthouse Time
Y82702I76967|2014-06-06 00:00:00|CH0234143718846267688|CH9318634853603420440|5521.99|Payment of invoice(s) Mustang Time
I22847C76240|2013-01-11 00:00:00|CH0201609149519657198|CH3565565295426810320|35963.69|Payment of invoice(s) Progressive Time
B74378Y45578|2012-04-27 00:00:00|CH0240522825785605571|CH3061963907498411463|8156.46|Payment of invoice(s) Moving with the Times
R83151I29162|2009-06-26 00:00:00|CH0206003498982695304|CH9791001388567356681|1744.77|Payment of invoice(s) Saint Time
Q26563D98507|2005-12-30 00:00:00|CH0228112131218563569|CH4154911007648432776|16550.60|Payment of invoice(s) Tuliptime Tunefest
V93507G13600|2016-01-15 00:00:00|CH0234515455801405036|CH9436656786623704266|30377.86|Payment of invoice(s) Sign of the Times Advertising Agency
K71987K88872|2012-12-07 00:00:00|CH0228315136202810440|CH3146115032200851604|22287.94|Payment of invoice(s) Impulse Time
D69273V26280|2014-10-03 00:00:00|CH0230382548836512713|CH9657399602049395479|14117.79|Payment of invoice(s) Candid Time
F30214F48369|2013-01-25 00:00:00|CH0237130733821422792|CH8616261051059395320|29904.29|Payment of invoice(s) Prospect Time
Q31784G93456|2015-10-16 00:00:00|CH0225122731249592892|CH9053624541702450052|98510.52|Payment of invoice(s) Eleventh Hour Events Planning
R59658S33043|2006-12-22 00:00:00|CH0209049493360060612|CH7283917062688226097|23404.41|Payment of invoice(s) Finley, Vernon
M46651M32815|2010-11-12 00:00:00|CH0206550793273688901|CH9791001388567356681|31745.69|Payment of invoice(s) Saint Time
I21949L29381|2012-11-30 00:00:00|CH0209336657619956939|CH8016460903045779129|77753.67|Payment of invoice(s) WriteTech
J43486E86901|2009-08-07 00:00:00|CH0201609149519657198|CH2916831165020066166|29023.75|Payment of invoice(s) Kongle
A89334B89334|2015-03-22 15:22:10|CH0227578004931115071|CH8411024405463591776|5000.00|Payment of invoice(s) Oscilloquartz
J96870H62187|2011-05-20 00:00:00|CH0227578004931115071|CH9387343052322901266|48024.02|Payment of invoice(s) Displaytech
Q86796K76133|2014-10-03 00:00:00|CH0206003498982695304|CH9657399602049395479|9980.97|Payment of invoice(s) Candid Time
X32638U22024|2014-09-19 00:00:00|CH0240900251892652380|CH9797517066913638834|26570.40|Payment of invoice(s) OpenSource Time
Z58669R56913|2014-05-09 00:00:00|CH0228112131218563569|CH9053624541702450052|11762.25|Payment of invoice(s) Eleventh Hour Events Planning
O44434U91437|2015-05-22 00:00:00|CH0204884126669364759|CH1006820597721560021|36690.32|Payment of invoice(s) Time  Cupid
Q16360O45429|2015-04-10 00:00:00|CH0250407194135228410|CH5039837041721813617|15983.12|Payment of invoice(s) Valent Technologies
Z22662S89005|2011-11-18 00:00:00|CH0231003557422817970|CH6389002244580245381|32561.14|Payment of invoice(s) Sin Thesis
Q97787L99838|2013-02-01 00:00:00|CH0248281695366099688|CH8616261051059395320|19598.01|Payment of invoice(s) Prospect Time
D93946C21750|2014-01-24 00:00:00|CH0236918036799637910|CH8515468004216856140|13632.08|Payment of invoice(s) SecondTime
P38659F20782|2014-09-26 00:00:00|CH0251073611707606644|CH8016460903045779129|2765.64|Payment of invoice(s) WriteTech
V10809K25015|2015-10-16 00:00:00|CH0211681954985788087|CH9053624541702450052|88689.64|Payment of invoice(s) Eleventh Hour Events Planning
G59148H76081|2011-12-16 00:00:00|CH0228315136202810440|CH7662760544240052921|15454.04|Payment of invoice(s) Zytrex
I49700U88942|2016-11-25 00:00:00|CH0200974687337280877|CH9436656786623704266|13740.89|Payment of invoice(s) Sign of the Times Advertising Agency
Z88727X68942|2014-08-29 00:00:00|CH0210540037202341452|CH4385645604347036714|2622.79|Payment of invoice(s) Just Time
U11805P26311|2015-05-08 00:00:00|CH0228112131218563569|CH9681610501955543047|66502.04|Payment of invoice(s) Bernard, Willa
P71043M95496|2013-06-07 00:00:00|CH0225122731249592892|CH7557621605158040369|3612.95|Payment of invoice(s) Harper, Clementine
P80105S37498|2012-12-14 00:00:00|CH0227578004931115071|CH3146115032200851604|30163.94|Payment of invoice(s) Impulse Time
U83928R95414|2008-08-15 00:00:00|CH0206003498982695304|CH3068272525733417130|1690.37|Payment of invoice(s) Realtime Time
X73391K95622|2014-10-03 00:00:00|CH0219850911967777927|CH3662109453683414593|35084.85|Payment of invoice(s) Prism Time
X53518C40932|2012-05-04 00:00:00|CH0236918036799637910|CH3061963907498411463|36387.88|Payment of invoice(s) Moving with the Times
Y99774H62528|2010-02-19 00:00:00|CH0236918036799637910|CH3296083466398193738|2286.11|Payment of invoice(s) Specialty Time
T59937U68976|2004-12-31 00:00:00|CH0250407194135228410|CH6353846276666583183|11183.41|Payment of invoice(s) Goodman, Colorado
B25051U17485|2008-06-06 00:00:00|CH0240522825785605571|CH4297398669858140496|64832.43|Payment of invoice(s) Antechnology
G55702P34660|2010-04-23 00:00:00|CH0215694012443589673|CH7164967580455939097|77356.14|Payment of invoice(s) RedHot Time
R58705K46191|2015-04-17 00:00:00|CH0218229960514553128|CH3660100928827682021|11129.17|Payment of invoice(s) Semantic Time
I71353K18924|2015-05-08 00:00:00|CH0209049493360060612|CH1006820597721560021|8237.57|Payment of invoice(s) Time  Cupid
M64758R56517|2010-06-25 00:00:00|CH0223943235385824696|CH2942996515512723075|9974.85|Payment of invoice(s) Wells, Julie
X47433N82461|2015-06-05 00:00:00|CH0209049493360060612|CH8016460903045779129|2533.74|Payment of invoice(s) WriteTech
X87266M31745|2016-01-29 00:00:00|CH0201609149519657198|CH9436656786623704266|7506.65|Payment of invoice(s) Sign of the Times Advertising Agency
M66982O22127|2013-03-15 00:00:00|CH0228315136202810440|CH2776009455955283091|14333.34|Payment of invoice(s) Aeora
Q20955P56136|2015-11-13 00:00:00|CH0250222882407221959|CH9436656786623704266|11385.02|Payment of invoice(s) Sign of the Times Advertising Agency
Q81836K76873|2014-05-16 00:00:00|CH0215694012443589673|CH3944952886896151839|1317.84|Payment of invoice(s) enCycle
L25156D82091|2013-03-01 00:00:00|CH0201609149519657198|CH8840689666966586589|43430.37|Payment of invoice(s) Grok
T94490B34128|2008-09-05 00:00:00|CH0234139622897026693|CH7593862183954112384|27815.48|Payment of invoice(s) Ancestor Dreamtime
B53744O86890|2011-11-11 00:00:00|CH0227578004931115071|CH1666656057224772762|2585.46|Payment of invoice(s) Pinpoint Matrix Systems
B54527K44162|2012-01-13 00:00:00|CH0214151982011227631|CH0975382478571743488|29271.70|Payment of invoice(s) Catalyst Time
W79780P14951|2015-12-04 00:00:00|CH0248281695366099688|CH7010391221892072726|676.02|Payment of invoice(s) Time  Avatar
B31443L18028|2014-01-24 00:00:00|CH0211681954985788087|CH8515468004216856140|29812.80|Payment of invoice(s) SecondTime
I37607T69801|2007-12-28 00:00:00|CH0250407194135228410|CH4297398669858140496|13114.02|Payment of invoice(s) Antechnology
J77465M70508|2011-04-29 00:00:00|CH0218229960514553128|CH3565565295426810320|1250.42|Payment of invoice(s) Progressive Time
L87808F37533|2011-12-30 00:00:00|CH0204884126669364759|CH4574413380911406657|44876.33|Payment of invoice(s) Time  Alternative
B93936O67212|2014-12-19 00:00:00|CH0206550793273688901|CH9318634853603420440|7049.89|Payment of invoice(s) Mustang Time
G75963N15552|2016-04-08 00:00:00|CH0228315136202810440|CH9460991585208143427|18675.30|Payment of invoice(s) Zentime
N83771Z44804|2012-10-12 00:00:00|CH0224806721788063113|CH1443469204088447401|15489.22|Payment of invoice(s) Neighborhood Time
U16511T28912|2014-07-18 00:00:00|CH0228315136202810440|CH4385645604347036714|31969.01|Payment of invoice(s) Just Time
X76146Q65714|2011-12-16 00:00:00|CH0200974687337280877|CH7662760544240052921|22532.15|Payment of invoice(s) Zytrex
I44575I30692|2014-09-05 00:00:00|CH0224806721788063113|CH1358263686244215866|24273.60|Payment of invoice(s) Genmex
A44579K75183|2014-04-11 00:00:00|CH0227578004931115071|CH4385645604347036714|23844.16|Payment of invoice(s) Just Time
F16021C14395|2014-09-19 00:00:00|CH0234139622897026693|CH9681610501955543047|4855.75|Payment of invoice(s) Bernard, Willa
X65916N92713|2005-11-18 00:00:00|CH0214401606376708007|CH0972869735311306178|50754.65|Payment of invoice(s) Method Time
W19848K69925|2013-07-12 00:00:00|CH0230382548836512713|CH9053624541702450052|7402.56|Payment of invoice(s) Eleventh Hour Events Planning
H79716I10163|2006-12-22 00:00:00|CH0251073611707606644|CH7283917062688226097|33417.73|Payment of invoice(s) Finley, Vernon
X37832J42988|2011-11-11 00:00:00|CH0209336657619956939|CH9550700497041359716|5583.81|Payment of invoice(s) Lifetime Time
L82124Q11672|2013-01-18 00:00:00|CH0234515455801405036|CH8616261051059395320|44026.39|Payment of invoice(s) Prospect Time
J37377R57669|2014-09-26 00:00:00|CH0234143718846267688|CH9657399602049395479|16580.56|Payment of invoice(s) Candid Time
R14301L98192|2013-10-04 00:00:00|CH0236918036799637910|CH9797517066913638834|70086.58|Payment of invoice(s) OpenSource Time
W84396M70431|2009-03-13 00:00:00|CH0214401606376708007|CH9397391863044082075|57243.75|Payment of invoice(s) Comet Time
W81522G68903|2015-01-09 00:00:00|CH0224806721788063113|CH6525051052542047010|15614.51|Payment of invoice(s) Suburban Time
W70109T66550|2013-03-08 00:00:00|CH0209336657619956939|CH7557621605158040369|531.14|Payment of invoice(s) Harper, Clementine
Y74513K16220|2012-06-22 00:00:00|CH0240900251892652380|CH5966588287840537342|8071.61|Payment of invoice(s) Ultrimax
X60027J31520|2010-04-30 00:00:00|CH0211681954985788087|CH7164967580455939097|68754.48|Payment of invoice(s) RedHot Time
S91497X11738|2014-04-04 00:00:00|CH0249176139269086161|CH9797517066913638834|27618.63|Payment of invoice(s) OpenSource Time
C30985V83485|2012-12-07 00:00:00|CH0250222882407221959|CH3146115032200851604|3812.27|Payment of invoice(s) Impulse Time
L33287F62027|2015-12-04 00:00:00|CH0228112131218563569|CH7010391221892072726|1317.47|Payment of invoice(s) Time  Avatar
O35151N69729|2011-10-21 00:00:00|CH0230382548836512713|CH4858680069098133364|26032.19|Payment of invoice(s) Time  North
N42864Z87229|2015-10-23 00:00:00|CH0234143718846267688|CH1006820597721560021|13055.65|Payment of invoice(s) Time  Cupid
C95941Q87864|2008-12-05 00:00:00|CH0225122731249592892|CH4859972362682465663|6836.31|Payment of invoice(s) Time  Council
W70611Y70664|2014-05-23 00:00:00|CH0214894598926922337|CH7794913888074892430|4016.25|Payment of invoice(s) Time  Utopia
K98721Y38572|2010-12-24 00:00:00|CH0207993305365962502|CH8729499478213548344|4209.70|Payment of invoice(s) CranialTech
O26788T72714|2014-04-04 00:00:00|CH0228112131218563569|CH3944952886896151839|14821.87|Payment of invoice(s) enCycle
D65720N13620|2012-05-25 00:00:00|CH0207993305365962502|CH4296421323470854890|4661.67|Payment of invoice(s) Time  Hands
H99112O36480|2015-04-17 00:00:00|CH0249176139269086161|CH3660100928827682021|18918.10|Payment of invoice(s) Semantic Time
X40528X96105|2013-03-01 00:00:00|CH0214151982011227631|CH0619016605702832070|6959.23|Payment of invoice(s) Pattern Time
C83992I66756|2014-03-28 00:00:00|CH0227578004931115071|CH5113429654953071542|12361.06|Payment of invoice(s) Technohabitat
D44474M38736|2011-11-18 00:00:00|CH0224806721788063113|CH6389002244580245381|80165.37|Payment of invoice(s) Sin Thesis
W65048W23716|2014-06-06 00:00:00|CH0210540037202341452|CH1358263686244215866|857.58|Payment of invoice(s) Genmex
Y68654I19022|2010-03-12 00:00:00|CH0206550793273688901|CH3296083466398193738|80657.74|Payment of invoice(s) Specialty Time
L30217J27159|2007-02-16 00:00:00|CH0215694012443589673|CH0972869735311306178|48608.05|Payment of invoice(s) Method Time
C51825L66088|2016-12-02 00:00:00|CH0246225152084380466|CH5039837041721813617|79567.01|Payment of invoice(s) Valent Technologies
Y33666Q22911|2015-08-21 00:00:00|CH0249176139269086161|CH3276374414353537218|37817.60|Payment of invoice(s) Time  Iron
E42854J21535|2015-10-09 00:00:00|CH0207993305365962502|CH9204116784019962130|6131.56|Payment of invoice(s) OneStop Time
N39046Y61586|2015-07-31 00:00:00|CH0206003498982695304|CH1006820597721560021|4000.00|Payment of invoice(s) Time  Cupid
X97703H59661|2008-03-14 00:00:00|CH0219850911967777927|CH3099329427195986553|17265.83|Payment of invoice(s) Techade
A89338B89338|2015-05-27 22:55:32|CH0249176139269086161|CH8411024405463591776|7500.00|Payment of invoice(s) Oscilloquartz
F22371I47404|2015-12-18 00:00:00|CH0223943235385824696|CH2825850289822331123|182.06|Payment of invoice(s) Strickland, Leroy
H81258I68501|2015-04-24 00:00:00|CH0236918036799637910|CH4702748652329494055|17344.90|Payment of invoice(s) Contreras, Myles
I24933O84320|2013-05-24 00:00:00|CH0249176139269086161|CH5088079216680893260|7619.92|Payment of invoice(s) Sapphire Time
P37488Q52880|2014-06-13 00:00:00|CH0201609149519657198|CH1358263686244215866|44112.63|Payment of invoice(s) Genmex
S76049M83928|2015-05-22 00:00:00|CH0206550793273688901|CH8016460903045779129|3093.55|Payment of invoice(s) WriteTech
Q18838G27394|2014-01-10 00:00:00|CH0248281695366099688|CH9053624541702450052|3171.05|Payment of invoice(s) Eleventh Hour Events Planning
W60473V78180|2011-11-18 00:00:00|CH0240522825785605571|CH1212759137980150044|6253.69|Payment of invoice(s) Plasma Time
N90841F78406|2014-02-14 00:00:00|CH0246225152084380466|CH6525051052542047010|2739.25|Payment of invoice(s) Suburban Time
S97262N49650|2011-06-10 00:00:00|CH0240522825785605571|CH8822873783116711340|26441.24|Payment of invoice(s) Cascade Time
F11336L21493|2013-03-08 00:00:00|CH0250407194135228410|CH9550700497041359716|55792.02|Payment of invoice(s) Lifetime Time
E77803W61963|2010-02-26 00:00:00|CH0250407194135228410|CH5088638921249011890|6992.62|Payment of invoice(s) FreeTime
E88209H59693|2010-05-21 00:00:00|CH0219850911967777927|CH9791001388567356681|68277.53|Payment of invoice(s) Saint Time
L68367J74458|2011-04-29 00:00:00|CH0234515455801405036|CH9158352429367567345|6539.58|Payment of invoice(s) Tarantella Time!
N83505L19494|2015-02-27 00:00:00|CH0204884126669364759|CH1006820597721560021|44604.25|Payment of invoice(s) Time  Cupid
V65608J96740|2016-07-01 00:00:00|CH0209336657619956939|CH9204116784019962130|18855.57|Payment of invoice(s) OneStop Time
I34320W89155|2014-01-10 00:00:00|CH0207993305365962502|CH5113429654953071542|1245.87|Payment of invoice(s) Technohabitat
J41012W36309|2011-12-02 00:00:00|CH0214401606376708007|CH5306138861270198557|13205.00|Payment of invoice(s) Tucker, Steel
Y88297S41358|2014-10-03 00:00:00|CH0206003498982695304|CH9657399602049395479|2733.86|Payment of invoice(s) Candid Time
K13752T87700|2014-05-23 00:00:00|CH0201609149519657198|CH7794913888074892430|453.77|Payment of invoice(s) Time  Utopia
O57367R75855|2010-08-20 00:00:00|CH0207993305365962502|CH9791001388567356681|1466.45|Payment of invoice(s) Saint Time
R52974P11955|2012-05-11 00:00:00|CH0227578004931115071|CH3565565295426810320|14071.86|Payment of invoice(s) Progressive Time
U70047H44386|2016-03-18 00:00:00|CH0209336657619956939|CH9460991585208143427|18868.93|Payment of invoice(s) Zentime
T11310U64707|2011-11-18 00:00:00|CH0246225152084380466|CH1212759137980150044|14633.65|Payment of invoice(s) Plasma Time
L53159E93586|2012-03-02 00:00:00|CH0206003498982695304|CH2284113576710807414|3269.25|Payment of invoice(s) NorthStar Time
L40877S20687|2015-05-08 00:00:00|CH0231003557422817970|CH1006820597721560021|8641.66|Payment of invoice(s) Time  Cupid
Q97561V41846|2011-03-18 00:00:00|CH0218229960514553128|CH8822873783116711340|11223.63|Payment of invoice(s) Cascade Time
O50922C76124|2013-05-17 00:00:00|CH0214151982011227631|CH5088079216680893260|37817.71|Payment of invoice(s) Sapphire Time
O68861V49042|2016-07-15 00:00:00|CH0200974687337280877|CH9681610501955543047|36377.72|Payment of invoice(s) Bernard, Willa
I94587U68551|2016-01-08 00:00:00|CH0246225152084380466|CH2877506220346092976|51452.89|Payment of invoice(s) Popcorn Born
A89336B89336|2015-03-22 15:47:47|CH0231003557422817970|CH3498715784363186095|5000.00|Payment of invoice(s) Leica Geosystems
X38515T71261|2009-08-28 00:00:00|CH0206003498982695304|CH5088638921249011890|2003.64|Payment of invoice(s) FreeTime
F97651M18988|2013-04-26 00:00:00|CH0250407194135228410|CH6067246472234989020|3992.56|Payment of invoice(s) Nikuda
K62161B38602|2013-02-01 00:00:00|CH0251073611707606644|CH7557621605158040369|666.12|Payment of invoice(s) Harper, Clementine
U46488X79520|2013-11-29 00:00:00|CH0214151982011227631|CH4385645604347036714|20394.74|Payment of invoice(s) Just Time
Q35117W48424|2015-12-04 00:00:00|CH0209336657619956939|CH7010391221892072726|6254.27|Payment of invoice(s) Time  Avatar
X46395Q20010|2012-06-22 00:00:00|CH0207993305365962502|CH5966588287840537342|36346.58|Payment of invoice(s) Ultrimax
W86665X20176|2012-06-22 00:00:00|CH0225122731249592892|CH5966588287840537342|21525.11|Payment of invoice(s) Ultrimax
C33757C30290|2008-06-27 00:00:00|CH0211681954985788087|CH3068272525733417130|24016.20|Payment of invoice(s) Realtime Time
K48735B62271|2011-11-18 00:00:00|CH0211681954985788087|CH6389002244580245381|3831.06|Payment of invoice(s) Sin Thesis
Q88242O46239|2011-11-18 00:00:00|CH0225122731249592892|CH1212759137980150044|1016.70|Payment of invoice(s) Plasma Time
K44366T78292|2011-01-14 00:00:00|CH0227578004931115071|CH0975382478571743488|38055.23|Payment of invoice(s) Catalyst Time
F46029D66405|2015-03-27 00:00:00|CH0228112131218563569|CH1006820597721560021|13433.83|Payment of invoice(s) Time  Cupid
O31025G46859|2013-04-26 00:00:00|CH0200974687337280877|CH6067246472234989020|73732.57|Payment of invoice(s) Nikuda
X51317P64378|2013-03-08 00:00:00|CH0236918036799637910|CH0619016605702832070|5883.52|Payment of invoice(s) Pattern Time
B18799K35420|2014-06-06 00:00:00|CH0228315136202810440|CH7794913888074892430|8264.15|Payment of invoice(s) Time  Utopia
R31553J29763|2016-01-15 00:00:00|CH0250222882407221959|CH9436656786623704266|3163.58|Payment of invoice(s) Sign of the Times Advertising Agency
U49896U99989|2007-10-05 00:00:00|CH0228112131218563569|CH7230353885308784585|13294.57|Payment of invoice(s) Ortega, Ivy
J28916C57840|2012-06-22 00:00:00|CH0234139622897026693|CH5966588287840537342|8949.06|Payment of invoice(s) Ultrimax
Y45636F62492|2013-10-25 00:00:00|CH0210540037202341452|CH9318634853603420440|1877.91|Payment of invoice(s) Mustang Time
T47017P82260|2011-03-25 00:00:00|CH0224806721788063113|CH9791001388567356681|73958.68|Payment of invoice(s) Saint Time
F98861W82033|2016-07-29 00:00:00|CH0209049493360060612|CH9436656786623704266|33812.52|Payment of invoice(s) Sign of the Times Advertising Agency
Y83240B32551|2013-03-01 00:00:00|CH0251073611707606644|CH1443469204088447401|54622.62|Payment of invoice(s) Neighborhood Time
V20915V72708|2011-12-09 00:00:00|CH0250222882407221959|CH5306138861270198557|1945.51|Payment of invoice(s) Tucker, Steel
B99954B84672|2012-10-26 00:00:00|CH0200974687337280877|CH3565565295426810320|6376.91|Payment of invoice(s) Progressive Time
W76870Q23367|2011-02-11 00:00:00|CH0206550793273688901|CH0975382478571743488|51118.41|Payment of invoice(s) Catalyst Time
Z88253I25764|2016-07-01 00:00:00|CH0214401606376708007|CH3276374414353537218|1134.08|Payment of invoice(s) Time  Iron
M28710M22896|2014-08-22 00:00:00|CH0246225152084380466|CH8016460903045779129|13164.35|Payment of invoice(s) WriteTech
K36779Q26916|2013-02-01 00:00:00|CH0249176139269086161|CH5016167931570684520|38054.44|Payment of invoice(s) Lighthouse Time
W80850U75581|2008-08-08 00:00:00|CH0207993305365962502|CH8871083503612224843|4260.56|Payment of invoice(s) Nationwide Time
H10632F71421|2007-08-31 00:00:00|CH0215694012443589673|CH4619565405631020224|2940.45|Payment of invoice(s) IdiTech
Z11934P55342|2014-10-03 00:00:00|CH0209049493360060612|CH9657399602049395479|28455.47|Payment of invoice(s) Candid Time
R29367J17129|2016-11-25 00:00:00|CH0210540037202341452|CH5039837041721813617|11889.69|Payment of invoice(s) Valent Technologies
V40472V23314|2015-01-23 00:00:00|CH0224806721788063113|CH9681610501955543047|29989.68|Payment of invoice(s) Bernard, Willa
